MOBILE_NUMBER,SIM_NO,SIM_IMSI
5754001591727,8991490650002136567,404490652136567
5754001591729,8991490650002136569,404490652136569
5754001591702,8991490650002136542,404490652136542
5754001591686,8991490650002136526,404490652136526
5754001591705,8991490650002136545,404490652136545
5754001591706,8991490650002136546,404490652136546
5754001591716,8991490650002136556,404490652136556
5754001591717,8991490650002136557,404490652136557
5754001591689,8991490650002136529,404490652136529
5754001591697,8991490650002136537,404490652136537
5754001591704,8991490650002136544,404490652136544
5754001591691,8991490650002136531,404490652136531
5754001591728,8991490650002136568,404490652136568
5754001591713,8991490650002136553,404490652136553
5754001591701,8991490650002136541,404490652136541
5754001591720,8991490650002136560,404490652136560
5754001591724,8991490650002136564,404490652136564
5754001591693,8991490650002136533,404490652136533
5754001591695,8991490650002136535,404490652136535
5754001591723,8991490650002136563,404490652136563
5754001591712,8991490650002136552,404490652136552
5754001591692,8991490650002136532,404490652136532
5754001591726,8991490650002136566,404490652136566
5754001591708,8991490650002136548,404490652136548
5754001591698,8991490650002136538,404490652136538
5754001591725,8991490650002136565,404490652136565
5754001591688,8991490650002136528,404490652136528
5754001591685,8991490650002136525,404490652136525
5754001591721,8991490650002136561,404490652136561
5754001591714,8991490650002136554,404490652136554
5754001591696,8991490650002136536,404490652136536
5754001591711,8991490650002136551,404490652136551
5754001591700,8991490650002136540,404490652136540
5754001591719,8991490650002136559,404490652136559
5754001591730,8991490650002136570,404490652136570
5754001591715,8991490650002136555,404490652136555
5754001591681,8991490650002136521,404490652136521
5754001591699,8991490650002136539,404490652136539
5754001591718,8991490650002136558,404490652136558
5754001591703,8991490650002136543,404490652136543
5754001591690,8991490650002136530,404490652136530
5754001591687,8991490650002136527,404490652136527
5754001591709,8991490650002136549,404490652136549
5754001591694,8991490650002136534,404490652136534
5754001591682,8991490650002136522,404490652136522
5754001591684,8991490650002136524,404490652136524
5754001591710,8991490650002136550,404490652136550
5754001591683,8991490650002136523,404490652136523
5754001591722,8991490650002136562,404490652136562
5754001591707,8991490650002136547,404490652136547
5754004910300,8991490650002157812,404490652157812
5754004910441,8991490650002157953,404490652157953
5754004910305,8991490650002157817,404490652157817
5754004910444,8991490650002157956,404490652157956
5754004910438,8991490650002157950,404490652157950
5754004910299,8991490650002157811,404490652157811
5754004910437,8991490650002157949,404490652157949
5754004910449,8991490650002157961,404490652157961
5754004910309,8991490650002157821,404490652157821
5754004910302,8991490650002157814,404490652157814
5754004910297,8991490650002157809,404490652157809
5754004910446,8991490650002157958,404490652157958
5754004910304,8991490650002157816,404490652157816
5754004910301,8991490650002157813,404490652157813
5754004910451,8991490650002157963,404490652157963
5754004910312,8991490650002157824,404490652157824
5754004910447,8991490650002157959,404490652157959
